Ссылка на фото,Ссылка,Название,Описание,Цена,Артикул,Категория,Подкатегория 1,Подкатегория 2,Подкатегория 3
https://www.kuchenland.ru/upload/iblock/2d1/2479f881_3b1d_11e9_80d4_98f2b3f54c77_ae30bca2_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-2-pr-actual/,"Набор ножей, 2 пр, Actual","Набор ножей, 2 предмета.

Комплектация:
Нож для нарезки - 15 см
Нож для нарезки - 13 см

Применяется для резки твердых и мягких продуктов (овощи, фрукты, мясо).

Материл:
Лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116)
Ручка – пластик

Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",2 590 Р,УТ000064857,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/0bd/2479f883_3b1d_11e9_80d4_98f2b3f54c77_ae30bca8_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-4-pr-actual/,"Набор ножей, 4 пр, Actual","Набор ножей, 4 предмета.

Комплектация: 
Нож поварской - 20 см
Нож для нарезки - 15 см
Нож для нарезки - 13 см
Нож для чистки овощей и фруктов - 9 см

Материл:
Лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116)
Ручка - пластик

Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",5 490 Р,УТ000064858,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/534/2479f887_3b1d_11e9_80d4_98f2b3f54c77_a2343ff3_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-13-sm-actual/,"Нож для нарезки, 13 см, Actual","Нож для нарезки. 

Размер лезвия: 130 мм. 
Материал: высококачественная нержавеющая сталь, рукоятка покрыта пластиком. 

Применяется для нарезки мягких продуктов с жесткой кожей (томаты, фрукты, колбаса, хлеб).
Использовать специальную разделочную поверхность (деревянную или пластиковую). 

Мыть теплой водой с применением жидкого моющего средства, вытирать насухо. 
Не рекомендуется использовать в посудомоечной машине. 
Не использовать в качестве открывалки или отвертки, не резать замороженные продукты, не ронять на пол, не класть на горячие конфорки и иные источники интенсивного тепла. 
Хранить в недоступном для детей месте.",1 090 Р,УТ000064860,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/1e5/2479f889_3b1d_11e9_80d4_98f2b3f54c77_a2343ff7_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-15-sm-actual/,"Нож для нарезки, 15 см, Actual","Нож для нарезки.

Размер лезвия: 15 см.
Материл: лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116), ручка – пластик.

Применяется для резки твердых и мягких продуктов (овощи, фрукты, мясо).
Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",1 590 Р,УТ000064861,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/3c1/2479f88b_3b1d_11e9_80d4_98f2b3f54c77_a2343fef_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-ovoshchnye/nozh-dlya-chistki-ovoshchey-9-sm-actual/,"Нож для чистки овощей, 9 см, Actual","Нож для чистки овощей.

Размер лезвия: 9 см.
Материл: лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116), ручка – пластик

Применяется для резки и чистки овощей и фруктов.
Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",1 090 Р,УТ000064862,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи овощные
https://www.kuchenland.ru/upload/iblock/340/2479f88d_3b1d_11e9_80d4_98f2b3f54c77_a2343ffb_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-povarskie/nozh-povarskoy-20-sm-actual/,"Нож поварской, 20 см, Actual","Нож поварской.

Размер лезвия: 20 см.
Материл: лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116), ручка – пластик.

Применяется для резки твердых и мягких продуктов (овощи, фрукты, мясо) и для шинковки.
Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",1 990 Р,УТ000064863,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи поварские
https://www.kuchenland.ru/upload/iblock/8ea/2479f895_3b1d_11e9_80d4_98f2b3f54c77_a833aed6_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-khlebnye/nozh-khlebnyy-20-sm-actual/,"Нож хлебный, 20 см, Actual","Нож хлебный.

Размер лезвия: 20 см.
Материл: лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116), ручка – пластик.

Применяется для нарезки хлеба, а также плодов с твердой оболочкой и мягкой сердцевиной (арбуз, помидор).
Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",1 590 Р,УТ000064867,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи хлебные
https://www.kuchenland.ru/upload/iblock/2c1/79919c0d_5bee_11eb_a031_9cdc71c2cdfd_f4137c9c_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-2-pr-stal-plastik-med-active/,"Набор ножей, 2 пр, сталь/пластик/медь, Active","""Набор ножей, 2 пр. Комплектация и размеры: нож для нарезки - 130 мм, нож для нарезки - 150 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Применяется для резки твердых и мягких продуктов (овощи, фрукты, мясо, рыба). Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте",1 290 Р,Т1-00003234,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/845/8f8672e0_5bee_11eb_a031_9cdc71c2cdfd_102582ee_2513_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-4-pr-stal-plastik-med-active/,"Набор ножей, 4 пр, сталь/пластик/медь, Active","Набор ножей, 4 пр. Комплектация и размеры: нож для чистки овощей - 90 мм, нож для нарезки - 130 мм, нож для нарезки - 150 мм, нож поварской - 200 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",2 490 Р,Т1-00003235,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/8cf/a3af3bbe_5bee_11eb_a031_9cdc71c2cdfd_9efd4e6f_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-5-pr-v-podstavke-stal-plastik-med-active/,"Набор ножей, 5 пр, в подставке, сталь/пластик/медь, Active","Набор ножей, 5 пр, в подставке. Комплектация и размеры: нож для чистки овощей - 90 мм, нож для нарезки - 130 мм, нож для нарезки - 150 мм, нож поварской - 200 мм, нож хлебный - 200 мм, подставка - 23x22x9 см. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь, акрид, древесина акации. Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Ножи можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",4 990 Р,Т1-00003236,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
